year_published,journal,title,abstract,lens_id,pmid
2014,Annals of internal medicine,Functional Status and Quality of Life After Transcatheter Aortic Valve Replacement: A Systematic Review,"Background Transcatheter aortic valve replacement (TAVR) prolongs survival in high-risk patients with severe aortic stenosis. However, its functional and quality-of-life benefits have not been established.",000-293-138-448-37X,24727842
2012,"Lancet (London, England)",Group B streptococcal disease in infants aged younger than 3 months: systematic review and meta-analysis.,"Summary Background Despite widespread use of intrapartum antibiotic prophylaxis, group B streptococcus remains a leading cause of morbidity and mortality in infants in Europe, the Americas, and Australia. However, estimates of disease burden in many countries outside of these regions is not available. We aimed to examine the current global burden of invasive disease and the serotype distribution of group B streptococcus isolates. Methods We searched Medline, Embase, and Wholis databases for studies on invasive early-onset (day 0–6) and late-onset (day 7–89) group B streptococcal disease. Eligible studies were those that described incidence, deaths, or serotypes. We also reviewed reference lists and contacted experts to seek unpublished data and data missed by our search. Random effects meta-analysis was used to pool data. Findings 74 studies met the inclusion criteria; 56 studies reported incidence, 29 case fatality, and 19 serotype distribution. An additional search for studies that reported serotype distribution from Jan 1, 1980, yielded a total of 38 articles. Only five low-income countries were represented in the review and contributed 5% weight to the meta-analysis. 47 (69%) studies reported use of any intrapartum antibiotic prophylaxis. Substantial heterogeneity existed between studies. Mean incidence of group B streptococcus in infants aged 0–89 days was 0·53 per 1000 livebirths (95% CI 0·44–0·62) and the mean case fatality ratio was 9·6% (95% CI 7·5–11·8). Incidence of early-onset group B streptococcus (0·43 per 1000 livebirths [95% CI 0·37–0·49]) and case fatality (12·1%, [6·2–18·3]) were two-times higher than late-onset disease. Serotype III (48·9%) was the most frequently identified serotype in all regions with available data followed by serotypes Ia (22·9%), Ib (7·0%), II (6·2%), and V (9·1%). Studies that reported use of any intrapartum antibiotic prophylaxis were associated with lower incidence of early-onset group B streptococcus (0·23 per 1000 livebirths [95% CI 0·13–0·59]) than studies in which patients did not use prophylaxis (0·75 per 1000 livebirths [0·58–0·89]). Interpretation More high-quality studies are needed to accurately estimate the global burden of group B streptococcus, especially in low-income countries. A conjugate vaccine incorporating five serotypes (Ia, Ib, II, III, V) could prevent most global group B streptococcal disease. Funding Child Epidemiology Reference Group (CHERG), WHO.",000-850-090-912-311,22226047
2012,Annals of internal medicine,Transitional Care After Hospitalization for Acute Stroke or Myocardial Infarction: A Systematic Review,"Background Transitional care is a time-limited service to prevent discontinuous care and adverse outcomes, including rehospitalization. Purpose To describe transitional care interventions and evidence of benefit or harm in patients hospitalized for acute stroke or myocardial infarction (MI). Data sources Cumulative Index to Nursing and Allied Health Literature, MEDLINE, Cochrane Database of Systematic Reviews, and EMBASE, supplemented with manual searches of reference lists of relevant studies and review articles (January 2000 to March 2012). Study selection 6 reviewers screened 5857 citations to identify English-language reports of trials or observational studies that compared transitional care with usual care among adults hospitalized for stroke or MI and that reported patient, caregiver, process, or systems outcomes within 1 year of hospital discharge. Data extraction Data on study design, quality, population, intervention characteristics, and patient- and system-level outcomes were extracted by 3 reviewers and confirmed by 1 additional reviewer. Data synthesis 62 articles representing 44 studies of transitional care for either acute stroke (27 studies) or MI (17 studies). Four intervention types were studied: hospital-initiated support (n = 14), patient and family education (n = 7), community-based support (n = 20), and chronic disease management (n = 3). Most studies (68%) were of fair quality. Overall, moderate-strength evidence showed that hospital-initiated support reduced length of stay for patients who had a stroke, and low-strength evidence showed that it reduced mortality for patients who had an MI. Evidence about benefits of other interventions and harms from transitional care services was insufficient. Limitations Few studies had high-quality research designs. The usual care comparator was often poorly defined. Applicability to U.S. clinical practice was limited; only 6 studies were conducted in the United States. Conclusion Available evidence shows that hospital-initiated transitional care can improve some outcomes in adults hospitalized for stroke or MI. Finding additional transitional care interventions that improve functional outcomes and prevent rehospitalizations and adverse events is a high priority for the growing population of patients who have an MI or a stroke. Primary funding source Agency for Healthcare Research and Quality.",004-690-448-334-348,22986378
2016,Annals of internal medicine,Effectiveness of Prevention Strategies for Contrast-Induced Nephropathy: A Systematic Review and Meta-analysis,"Background N-acetylcysteine, sodium bicarbonate, statins, and ascorbic acid have been studied for reducing contrast-induced nephropathy (CIN). Purpose To evaluate the comparative effectiveness of interventions to reduce CIN in adults receiving contrast media. Data sources MEDLINE, EMBASE, Cochrane Library, ClinicalTrials.gov, and Scopus databases through June 2015. Risk of bias and overall strength of evidence (SOE) of studies were assessed. Study selection Randomized, controlled trials of N-acetylcysteine, sodium bicarbonate, statins, or ascorbic acid that used intravenous (IV) or intra-arterial contrast media and defined CIN with enough data for meta-analysis. Data extraction Two reviewers independently extracted data and assessed study quality. Data synthesis Low-dose N-acetylcysteine plus IV saline compared with IV saline (risk ratio [RR], 0.75 [95% CI, 0.63 to 0.89]; low SOE), N-acetylcysteine plus IV saline compared with IV saline in patients receiving low-osmolar contrast media (RR, 0.69 [CI, 0.58 to 0.84]; moderate SOE), and statins plus N-acetylcysteine plus IV saline versus N-acetylcysteine plus IV saline (RR, 0.52 [CI, 0.29 to 0.93]; low SOE) had clinically important and statistically significant benefits. The following 3 comparisons suggested a clinically important difference that was not statistically significant: sodium bicarbonate versus IV saline in patients receiving low-osmolar contrast media (RR, 0.65 [CI, 0.33 to 1.25]; low SOE), statins plus IV saline versus IV saline (RR, 0.68 [CI, 0.39 to 1.20]; low SOE), and ascorbic acid versus IV saline (RR, 0.72 [CI, 0.48 to 1.01]; low SOE). Strength of evidence was generally insufficient for comparisons of the need for renal replacement, cardiac events, and mortality. Limitation Too few studies were done in patients receiving IV contrast media. Conclusion The greatest reduction in CIN was seen with N-acetylcysteine plus IV saline in patients receiving LOCM and with statins plus N-acetylcysteine plus IV saline. Primary funding source Agency for Healthcare Research and Quality.",005-183-153-002-346,26830221
2013,BMJ (Clinical research ed.),Comparative effectiveness of renin-angiotensin system blockers and other antihypertensive drugs in patients with diabetes: systematic review and bayesian network meta-analysis,"Objective To assess the effects of different classes of antihypertensive treatments, including monotherapy and combination therapy, on survival and major renal outcomes in patients with diabetes. Design Systematic review and bayesian network meta-analysis of randomised clinical trials. Data sources Electronic literature search of PubMed, Medline, Scopus, and the Cochrane Library for studies published up to December 2011. Study selection Randomised clinical trials of antihypertensive therapy (angiotensin converting enzyme (ACE) inhibitors, angiotensin receptor blockers (ARBs), α blockers, β blockers, calcium channel blockers, diuretics, and their combinations) in patients with diabetes with a follow-up of at least 12 months, reporting all cause mortality, requirement for dialysis, or doubling of serum creatinine levels. Data extraction Bayesian network meta-analysis combined direct and indirect evidence to estimate the relative effects between treatments as well as the probabilities of ranking for treatments based on their protective effects. Results 63 trials with 36 917 participants were identified, including 2400 deaths, 766 patients who required dialysis, and 1099 patients whose serum creatinine level had doubled. Compared with placebo, only ACE inhibitors significantly reduced the doubling of serum creatinine levels (odds ratio 0.58, 95% credible interval 0.32 to 0.90), and only β blockers showed a significant difference in mortality (odds ratio 7.13, 95% credible interval 1.37 to 41.39). Comparisons among all treatments showed no statistical significance in the outcome of dialysis. Although the beneficial effects of ACE inhibitors compared with ARBs did not reach statistical significance, ACE inhibitors consistently showed higher probabilities of being in the superior ranking positions among all three outcomes. Although the protective effect of an ACE inhibitor plus calcium channel blocker compared with placebo was not statistically significant, the treatment ranking identified this combination therapy to have the greatest probability (73.9%) for being the best treatment on reducing mortality, followed by ACE inhibitor plus diuretic (12.5%), ACE inhibitors (2.0%), calcium channel blockers (1.2%), and ARBs (0.4%). Conclusions Our analyses show the renoprotective effects and superiority of using ACE inhibitors in patients with diabetes, and available evidence is not able to show a better effect for ARBs compared with ACE inhibitors. Considering the cost of drugs, our findings support the use of ACE inhibitors as the first line antihypertensive agent in patients with diabetes. Calcium channel blockers might be the preferred treatment in combination with ACE inhibitors if adequate blood pressure control cannot be achieved by ACE inhibitors alone.",005-918-711-158-48X,24092942
2020,Annals of internal medicine,Effects of Intensive Blood Pressure Treatment on Orthostatic Hypotension : A Systematic Review and Individual Participant-based Meta-analysis.,"Background Although intensive blood pressure (BP)-lowering treatment reduces risk for cardiovascular disease, there are concerns that it might cause orthostatic hypotension (OH). Purpose To examine the effects of intensive BP-lowering treatment on OH in hypertensive adults. Data sources MEDLINE, EMBASE, and Cochrane CENTRAL from inception through 7 October 2019, without language restrictions. Study selection Randomized trials of BP pharmacologic treatment (more intensive BP goal or active agent) that involved more than 500 adults with hypertension or elevated BP and that were 6 months or longer in duration. Trial comparisons were groups assigned to either less intensive BP goals or placebo, and the outcome was measured OH, defined as a decrease of 20 mm Hg or more in systolic BP or 10 mm Hg or more in diastolic BP after changing position from seated to standing. Data extraction 2 investigators independently abstracted articles and rated risk of bias. Data synthesis 5 trials examined BP treatment goals, and 4 examined active agents versus placebo. Trials examining BP treatment goals included 18 466 participants with 127 882 follow-up visits. Trials were open-label, with minimal heterogeneity of effects across trials. Intensive BP treatment lowered risk for OH (odds ratio, 0.93 [95% CI, 0.86 to 0.99]). Effects did not differ by prerandomization OH (P for interaction = 0.80). In sensitivity analyses that included 4 additional placebo-controlled trials, overall and subgroup findings were unchanged. Limitations Assessments of OH were done while participants were seated (not supine) and did not include the first minute after standing. Data on falls and syncope were not available. Conclusion Intensive BP-lowering treatment decreases risk for OH. Orthostatic hypotension, before or in the setting of more intensive BP treatment, should not be viewed as a reason to avoid or de-escalate treatment for hypertension. Primary funding source National Heart, Lung, and Blood Institute, National Institutes of Health. (PROSPERO: CRD42020153753).",008-461-294-964-641,32909814
2019,Annals of internal medicine,Pharmacologic and Nonpharmacologic Treatments for Urinary Incontinence in Women: A Systematic Review and Network Meta-analysis of Clinical Outcomes,"Background Urinary incontinence (UI), a common malady in women, most often is classified as stress, urgency, or mixed. Purpose To compare the effectiveness of pharmacologic and nonpharmacologic interventions to improve or cure stress, urgency, or mixed UI in nonpregnant women. Data sources MEDLINE, Cochrane Central Register of Controlled Trials (Wiley), Cochrane Database of Systematic Reviews (Wiley), EMBASE (Elsevier), CINAHL (EBSCO), and PsycINFO (American Psychological Association) from inception through 10 August 2018. Study selection 84 randomized trials that evaluated 14 categories of interventions and reported categorical cure or improvement outcomes. Data extraction 1 researcher extracted study characteristics, results, and study-level risk of bias, with verification by another independent researcher. The research team collaborated to assess strength of evidence (SoE) across studies. Data synthesis 84 studies reported cure or improvement outcomes (32 in stress UI, 16 in urgency UI, 4 in mixed UI, and 32 in any or unspecified UI type). The most commonly evaluated active intervention types included behavioral therapies, anticholinergics, and neuromodulation. Network meta-analysis showed that all interventions, except hormones and periurethral bulking agents (variable SoE), were more effective than no treatment in achieving at least 1 favorable UI outcome. Among treatments used specifically for stress UI, behavioral therapy was more effective than either α-agonists or hormones in achieving cure or improvement (moderate SoE); α-agonists were more effective than hormones in achieving improvement (moderate SoE); and neuromodulation was more effective than no treatment for cure, improvement, and satisfaction (high SoE). Among treatments used specifically for urgency UI, behavioral therapy was statistically significantly more effective than anticholinergics in achieving cure or improvement (high SoE), both neuromodulation and onabotulinum toxin A (BTX) were more effective than no treatment (high SoE), and BTX may have been more effective than neuromodulation in achieving cure (low SoE). Limitation Scarce direct (head-to-head trial) evidence and population heterogeneity based on UI type, UI severity, and history of prior treatment. Conclusion Most nonpharmacologic and pharmacologic interventions are more likely than no treatment to improve UI outcomes. Behavioral therapy, alone or in combination with other interventions, is generally more effective than pharmacologic therapies alone in treating both stress and urgency UI. Primary funding source Patient-Centered Outcomes Research Institute. (PROSPERO: CRD42017069903).",009-913-241-614-921,30884526
2015,BMJ (Clinical research ed.),Risk of recurrent stillbirth: systematic review and meta-analysis,"Objective To determine the risk of recurrent stillbirth. Design Systematic review and meta-analysis of cohort and case-control studies. Data sources Embase, Medline, Cochrane Library, PubMed, CINAHL, and Scopus searched systematically with no restrictions on date, publication, or language to identify relevant studies. Supplementary efforts included searching relevant internet resources as well as hand searching the reference lists of included studies. Where published information was unclear or inadequate, corresponding authors were contacted for more information. Study selection Cohort and case-control studies from high income countries were potentially eligible if they investigated the association between stillbirth in an initial pregnancy and risk of stillbirth in a subsequent pregnancy. Stillbirth was defined as fetal death occurring at more than 20 weeks’ gestation or a birth weight of at least 400 g. Two reviewers independently screened titles to identify eligible studies based on inclusion and exclusion criteria agreed a priori, extracted data, and assessed the methodological quality using scoring criteria from the critical appraisal skills programme. Random effects meta-analyses were used to combine the results of the included studies. Subgroup analysis was performed on studies that examined unexplained stillbirth. Results 13 cohort studies and three case-control studies met the inclusion criteria and were included in the meta-analysis. Data were available on 3 412 079 women with pregnancies beyond 20 weeks duration, of who 3 387 538 (99.3%) had had a previous live birth and 24 541 (0.7%) a stillbirth. A total of 14 283 stillbirths occurred in subsequent pregnancies, 606/24 541 (2.5%) in women with a history of stillbirth and 13 677/3 387 538 (0.4%) among women with no such history (pooled odds ratio 4.83, 95% confidence interval 3.77 to 6.18). 12 studies specifically assessed the risk of stillbirth in second pregnancies. Compared with women who had a live birth in their first pregnancy, those who experienced a stillbirth were almost five times more likely to experience a stillbirth in their second pregnancy (odds ratio 4.77, 95% confidence interval 3.70 to 6.15). The pooled odds ratio using the adjusted effect measures from the primary studies was 3.38 (95% confidence interval 2.61 to 4.38). Four studies examined the risk of recurrent unexplained stillbirth. Methodological differences between these studies precluded pooling the results. Conclusions The risk of stillbirth in subsequent pregnancies is higher in women who experience a stillbirth in their first pregnancy. This increased risk remained after adjusted analysis. Evidence surrounding the recurrence risk of unexplained stillbirth remains controversial.",013-877-364-206-695,26109551
2012,BMJ (Clinical research ed.),Indoor tanning and non-melanoma skin cancer: systematic review and meta-analysis,"Objective To synthesise the literature on indoor tanning and non-melanoma skin cancer. Design Systematic review and meta-analysis. Data sources PubMed (1966 to present), Embase (1974 to present), and Web of Science (1898 to present). Study selection All articles that reported an original effect statistic for indoor tanning and non-melanoma skin cancer were included. Articles that presented no data, such as review articles and editorials, were excluded, as were articles in languages other than English. Data extraction Two investigators independently extracted data. Random effects meta-analysis was used to summarise the relative risk of ever use versus never use of indoor tanning. Dose-response effects and exposure to indoor tanning during early life were also examined. The population attributable risk fraction for the United States population was calculated. Results 12 studies with 9328 cases of non-melanoma skin cancer were included. Among people who reported ever using indoor tanning compared with those who never used indoor tanning, the summary relative risk for squamous cell carcinoma was 1.67 (95% confidence interval 1.29 to 2.17) and that for basal cell carcinoma was 1.29 (1.08 to 1.53). No significant heterogeneity existed between studies. The population attributable risk fraction for the United States was estimated to be 8.2% for squamous cell carcinoma and 3.7% for basal cell carcinoma. This corresponds to more than 170 000 cases of non-melanoma skin cancer each year attributable to indoor tanning. On the basis of data from three studies, use of indoor tanning before age 25 was more strongly associated with both squamous cell carcinoma (relative risk 2.02, 0.70 to 5.86) and basal cell carcinoma (1.40, 1.29 to 1.52). Conclusions Indoor tanning is associated with a significantly increased risk of both basal and squamous cell skin cancer. The risk is higher with use in early life (",014-617-152-920-921,23033409
2021,BMJ (Clinical research ed.),Efficacy and safety of antidepressants for the treatment of back pain and osteoarthritis: systematic review and meta-analysis,"Abstract Objective To investigate the efficacy and safety of antidepressants for back and osteoarthritis pain compared with placebo. Design Systematic review and meta-analysis. Data sources Medline, Embase, Cochrane Central Register of Controlled Trials, CINAHL, International Pharmaceutical Abstracts, ClinicalTrials.gov, and the World Health Organization International Clinical Trials Registry Platform from inception to 15 November and updated on 12 May 2020. Eligibility criteria for study selection Randomised controlled trials comparing the efficacy or safety, or both of any antidepressant drug with placebo (active or inert) in participants with low back or neck pain, sciatica, or hip or knee osteoarthritis. Data extraction and synthesis Two independent reviewers extracted data. Pain and disability were primary outcomes. Pain and disability scores were converted to a scale of 0 (no pain or disability) to 100 (worst pain or disability). A random effects model was used to calculate weighted mean differences and 95% confidence intervals. Safety (any adverse event, serious adverse events, and proportion of participants who withdrew from trials owing to adverse events) was a secondary outcome. Risk of bias was assessed with the Cochrane Collaboration’s tool and certainty of evidence with the grading of recommendations assessment, development and evaluation (GRADE) framework. Results 33 trials (5318 participants) were included. Moderate certainty evidence showed that serotonin-noradrenaline reuptake inhibitors (SNRIs) reduced back pain (mean difference −5.30, 95% confidence interval −7.31 to −3.30) at 3-13 weeks and low certainty evidence that SNRIs reduced osteoarthritis pain (−9.72, −12.75 to −6.69) at 3-13 weeks. Very low certainty evidence showed that SNRIs reduced sciatica at two weeks or less (−18.60, −31.87 to −5.33) but not at 3-13 weeks (−17.50, −42.90 to 7.89). Low to very low certainty evidence showed that tricyclic antidepressants (TCAs) did not reduce sciatica at two weeks or less (−7.55, −18.25 to 3.15) but did at 3-13 weeks (−15.95, −31.52 to −0.39) and 3-12 months (−27.0, −36.11 to −17.89). Moderate certainty evidence showed that SNRIs reduced disability from back pain at 3-13 weeks (−3.55, −5.22 to −1.88) and disability due to osteoarthritis at two weeks or less (−5.10, −7.31 to −2.89), with low certainty evidence at 3-13 weeks (−6.07, −8.13 to −4.02). TCAs and other antidepressants did not reduce pain or disability from back pain. Conclusion Moderate certainty evidence shows that the effect of SNRIs on pain and disability scores is small and not clinically important for back pain, but a clinically important effect cannot be excluded for osteoarthritis. TCAs and SNRIs might be effective for sciatica, but the certainty of evidence ranged from low to very low. Systematic review registration PROSPERO CRD42020158521.",016-349-341-590-866,33472813
